authorid,paperids
28219,647888 1588027 1581445 1456144 1703055 1931375 1399749 897275 1680681 1116196 1696145 109827 1791923 82050 447407 1464976 602134 623567 401615 383133 186104 774485 2184495 333598 5770 487655 680300 654955 335385 1422005 1220941 1731420 1862163 83820 1025108 1144676 167565 1637736 68017 1706816 1078812 2247914 627675 665753 330872 1150031 2060242 303593 1325050 1955611 1481346 1852837 1652378 1084963 586226 1594284 1835483 5120 631751 780897 1902112 128718 1890179 660242
29128,618851 657946 1668715 921604 1927641 703337 804653 1769412 648074 2095139 1174507 2196786 110647 1860108 1137717 1380889 1235232 223276 642811 2178958 1635071 315629 601667
34494,1784487 809480 846983 91967 1536613 1397825 549068 353064 1910875 472573 728621 560590 1524512 1014168 1750762 803164 1076624 707534 2047860 159091 804003 997090 712201 1063907 1356744 1206531 1320542 1006766 1116725 968173 259341 629989 462095 1096538 1719679
34496,632352 1359075 1638932 161413 2253773 62917 2169307 858967 1363327 1429443 888479 2130364 266856
36062,1152288 1229421 914058 1051950 448872 1809858 1033927 1037188 1765448 471502 704914 1475139 1178094 169846 1107923 899789 1658764 1205019 52206 1481448 1805494 461765 1537633 910628 924384 972530 1894316 82450 709071 1528118 100084 581437 1765108 1520105 1296714 1566501 1098015 611971 939209 1346661 319858 957237 822364 1007492 1070290 2009413 1148170 1314077 605243 2169470 1168546 1958799 691018 2257205 1975664 1260867 1411362 292891 1561467 1053515 1975276 57030 1938337 869744 1065957 280324 2257551 916143 2243971 253150 838367 183182 1770228 2254989 400327 1488609 1465493 384055 231435 1257199 1501169 105792 2129732 870955 921400 830033 741657 1994278 2179156 2166942 111433 993804 96930 1291513 100646 630759 100193 946260 1561450 1135619 2258994 1150479 1985804 838672 12362 2143817 710159 1302514 1227183 2251014 1644154 1627429 667744 88304 1293320 2084437 1225907 318438 1696591 2120779 2011689 646637 2218065 1791107 2030363 394413 239616 1488418 1425834 1760287 1895803 1374008 274016 1579310 881018 1755021 1393734 1895472 1884507 1096144
39768,871837 2112139 322704 523900 1502430 162121 115843 1902374 312197 1751703 2059764 1859302 1396244 783061 1972254 452266 589984 2126514 154803 2106793 1762264 1466741 1527646 1133985 1942840 556341 1061105 494957 825836 1156204 68023 1195190 2208909 872311 1102370 423743 1367227 200508 1428199 1974886 370220 1884083 2182654 1114602 1559005 547614 1975573 766030 1240968 1406329 100673 2126402 885347 958934 1628319 2232604 432897 1466535 1124811 1592066 1937541 1802369 1595095 1430807 1754413 8641 1069237 2139326 1285995 1489965 2175268 1845192 618452 93488 2185775 648483 5505 539687 758183 405042 928356 1382763 28045 511397 1498743 223129 1157824 156198 206613 1730752 155087 429315 1245793 1289447 367476 331742 2236084 1219316 922526 1399457 818472 217454 1229328 730365 710951 2050669 1984723 1036289 918619 1235441 1347552 385658 879373 1771946 711258 947393 553353 216047 1494469 551615 1123455
39798,1885187 2104288 2246046 2056173 2052980 1122961 1788489 510673 530891 666223 854512 1785282 1929774 1372592 1581995 729457 2087449 1994858 18672 1892653 376339 2153956 115064 1380258 1288620 1906933 1075626 729571 374468 1472026 594947 2196869 1610722 1503521 2139329 544441 519981 1054247
40047,709733 1152800 1289425 627854 848122 2171272 188576 1012865 1530502 1045548 42018 258552 945776 1116160 238939 1141560 324681 2115497 1337919 1914286 2039247 1099951 847322 788435 1738143 2230154 1133541 2101374 1815196 355196
41009,637278 1176104 1994425 1934756 199656 84587 1029758 56140 2038704 1573546 1819448 1474631 915032 863425 2058482 1698249 1357171 2097253 644357 261035 2080354 2234486 1225680 2034501 246701 1531457 129720 643702 253685 2228833 336248 376081 253685 2124527 926841 1258284 1592115 1862142 2026989 1503866 827041 1839925 114875 428606 2181493 1375484 1308254 1492021 1956351 1398925 656419 1138474 330114
42126,347427 386358 1220955 1933559 1173255 791236 785820 660979 776187
43172,356658 566072 127095 1930617 1849015 1155926 1521830 433659 2177399 1296109 1876696 1217745 1508621 406620 814654 1247158 1266800 537652
45187,1409696 1831888 2202633 1725516 1725516 2041981 443914 1130150
45333,745629 807868 1232699 1878978 1813947 1679112 727364 1378776 1400665 940748 200484 2138460
46066,721900 1966819 1863185 364532 2109319 407548 1282427 720189 1538056 1157255 1846156 676015 737082 1966185 1949698 634692 812130 1897513 464803 85243 1197910 1551780 1723942 191453 804918 1589028 2110965 29428 1292754 617071 586968 1782570 741938 2094390 45403 1224625 1283775 2158522 395019 2054486 2095007 1674171 2041368 1515709 1984071 202418 976074 1902541 1082619 1434510 416649 159023 183262 12403 1872215 394747 399845 946806 1365765 897475 903284
47017,564997 1582820 1054552 1419410 1097677 977325 796552 802514 5900 855071 1450841 1438593 1534759 2012652 1723413 456193 372684 2117035 877613 1298547 195544 1132453 1523202 1459573 20013 1162111 659438 904968 143535 439107 1481131 1174459 1224717 382268 230362 259806 1456402 1659842 249794 810860 205691 73200 361131 962323 747635 539979 702336 2091331 1436180 1314999 479980 1965004 857876 617674 1207842 2136502 545532 31966 26035 560441 669425 1142699 2069505 280536 2008934 1418396 817043 2250379 825353 1562660 616979 68419 148837 2067876 309280 974717 327016 469963 2100989 1923559 896957 15104 1656243 1946327 113469 93065 1633627 842662 1034309 1991326 909199 1235731 974997 1313701 185854 1180297 162975 99719 2199293 1126668 1288246 299094 2012471 1554996 2246471 1548256 1587962 75376 959709 1690779 1185300 1697978 1848939 1882724 1601840 1996632 1984291 402449 1945466 2248479 358766 1920929 1631163 760332 917714 795668 1307395 1354570 1312807 367143 1184789
47369,2156115 510797 1621548 356551 1005133 1880847 1123071 1042370 291513 29415 589471 1466503 102351 1282435 633033 2189979 701899 1892530 688618 1613458 496133 393938 615483 1850227 212672 263697 99953 1716677 2036384 1094852 2220329 639550 516439 2173810 557516 1060942 213374 249881 693443 310610 2225991 1324833 1761571 32850 528316 251616 1538867 1189910 1743926 719123 1575310 955542 380110 231443 111913 1840637 758878 2237791 983165 1023331 1242911 1268774 495181 1235766 2090318 1919654 1374442 1273895 23054 1373174 1668248 39650 194000 1140341 689535 522373 545837 1985178 2209103 1633959 1637719 2019794 479323 773117 340409 420376 1056758 718459 35421 1710955 201550 1457310 1863871 1988509 705880 539078 2090394 1689876 1572703 662139 1760521 1426151 1541654
48271,1223261 1430366 108702 1990256 1098132 314113 426043 2236330 346168 881430 449905 1284336 2021983 849724 347377 76832 313931 838948 2189727 174021 1065 1459669 1960316 1697158 429059 981546 2119206 1105665 2221247 1460581 2058100 2222204 1725338 2235685 391938 70394 313931 964690 1378037 2088176 1641627 633157 382740 1735840 1128220 558586
49667,1699309 1609920 419798 184841 2209437 47495 1967976 1292873 238780 875977 260137 2003564 2223838 647417 2050315 262895 982785 1139304 2041399 1845901 1901108 97909 148431 471452 1720255 466705 1799617 2152849 1104001 561424 12067 809433 13345 1185950 1795964 1136275 1427066 1229525 2123826 890238 877931 2000546 1632161 1146818 1132114 1811349 1431544 37246 1777208 1196826 912990 1792259 28726 1405986 1000333 470373 1120884 540959 1093688 2199700 364105 1724960 1168107 1568542 1383421 680091 814729 1958227 1946799 1263653 517713 54715 1772048 1701999 1632830 1231121 2223852 86102 377178 83808 923212 1111728 1374938 509973 760670 1989884 2035256 3783 82169 180518 525632 1745252 1720149 977869 665274 972086 359504 1563584 337864 818206 1072787 1095604 980555 1069444 20748 44527 1793141 1061980 1513802 1261390 232283 1535917 1010505 908541 485536 245054 2073712 1302330 1199173 409809 929825 136623 929116 1723026 865125 1529230 1596002 1960578 1984205 2010532 21119 1519809 1604684 1969981 816501 893588 1420963 264980 1631232 97909 997624 1042525 204997 327468 1765050 1415837 1922507 730982 1822721 1934227 2185612 639206 1368947 250485 1855325 1441793 80699 1465919 1890896 1763689 1361498 809959 1926287 1701744 1620473 1602149 1250513 2149537 397780 1210045 585760 1414100 2118385 1506605 1394357 900707 1483691 16133 2256552 1961403 2028427 2251494 2223491 936204 1342355 312405 1047858 376388 2018304 980847 2077016 1701639 747534 27735 945082 31206 454790 1735677 533190 654185 234361 2082191 719846 1023691 2114734 261075 1504815 1376818 2193064 1473525 721843 1252479 1715966 1548339 1515523 2084082
53232,2220600 1069844 550927 2182817 1006823 846279 1708545 1308604 134973 52499 416698
53546,1089891 635509 1519018 1749472 342925
54193,361759 1822971 336330 1887993 1261998 1702804 1182759 1339451 1525884 1049892 115335 1775232 1218785 1827457
55472,1682789 1525050 1676979 776599 1380118 803104 1188759 1241629 1399406 981661 1956071 454243 200918 1673413 1477393 1697554 335561 92650 469743 288430 11202 2155857 920824 1698561 1602426 1641150 2072329 1815125 1355808 1748387 1826645 422799 1772803 17361 1842035 1060266 559776 1428205 897505 138434 738880 1078971 1425956 544846 786870 1652756 622834 837360 963163 393454 308175 134697 2038399 1367497 587588 354173 1517046 1515044 1317519 1533072 1134653 1123073 453139 368327 835997 1995332 2228030 1352228 2209704 232138 1349412 975433 776897 156996 1366664
57198,1690790 934805 305458 146027 766207 1972414 1392869 206158 921204
57451,385955 631315 2042411 1869921 478614 746153 1766217
58609,287053 864324 514374 395704 2021144 423179 932459 324523 640834 815857 1273038 567989 2032251
61064,565961 2130760 1148629 984038 959130 2050000 2091214 1772074 1041639 134307 1675975 1956780 584130 551160 746800 279685 143951 496566 1295843 1465557 1502263 1074858 755182 2075002 2184630 1034842
62984,418242 107189 589321 673684 1354952 1623697 1258404 2151004 165351 526406 1423808 1290378 1233619 2058602 628586 752081 567888 452986 2062401 1457155 875518 629173 1988262 1804732 17240 36575 1009242 1514879 1542763 272790 999211 1689537 130112 2248521 1304305 978906 427191 901384 2081382 1401535 1425746 1309805 1571576 2147903 1653130 1490095 2123749 1063899 1542586 1291998 22245 204531 210299 794620 621653 358853 1171898 316282 1348410 1848846 1835622 15533 77274 2237096 1345739 614191 1610740 2081944 1917068 1883810 135533 1330683 1168906 1494324 615926 432850 169894 2232688 332587 2034939 1140592 1926166 323767 7694 436903 1699311 1650258 65501 1210726 1408384 644802 995755 1100907 708274 62138 1127084 938884
63141,1218037 214528
68442,1425866 1996627 1140750 1141983 1282045 2055801 274626 1373192 810278 2122432 1753187 1082885 1254384 210286 1569877
68676,1067040 1947185 417263 656382 249506 2032555 1806838 1091672 678942 1722176 2037325 1027652 2076665 1938143 138789 1138260 640358 1094801 503988 1949905 1668336 1267117 191887 1913430 42108 956984 862059 647855 830317 909594 2108397 1075218 1778680 1051482 1462079 659146 1458433 261358 964232 1379587 903054 24020 553983 1552459 304379 1723232 380874 1993375 972354 589390 1085231 1575126 51213 1178489 1914015 1114460 1350933 1792647 298942 1163164 902644 1454358 288177 856597 2135789 1773881 193345 1905456 417384 2241982 209825 2075553 142728 1553313 14131 2004095 1610168 204838 432673 2034893 2175732 1886912 987485 1725673 304338 862902 943292 1634808 1281657 1356243 17667 1277972 291538 168632 1312214 618179 343942 1232019 1867247 2036999 1007384 351826 1038427 863629 1610440 326702 365443 1439865
70311,634915 1572872 1844708 1789018 1900560 594914 2193762 1387164 1597169 278945
71221,649826 2146545 1181738 1257102 1888630 665014 1054673 1906331 1489276 1708272 299530
72384,2228003 525382 86576 2019615 2002545 885239 1564994 982810 2257331 1377948 1037542 923067 2193796 28190 715676 904269 300244 339600 1370074 435782 2097228 1178398 1649373 2244968 2224260 1121350 1756658 69982
74859,1203866 878446 1371642 1485533 1909010 1486393 1835988 1762955 1775592 1835988 618621 1428726 488107 1625277 2028109 1819639 179245 875731 230589 2221657 2127249 2032968 488107 1947409 1775592 687725 1879774 710454 946604 1979144 946604 1261356 245139 1044426 1489831 1775592 909362 592046 488107 1887843 524562 249005 2172540 1044183 852203
76183,915084 1596708 1650757 1473761 730872 1967485 1467922 988903 563641 111350 689286 1899758 1412663 2179981 1933344 662526 1417677 1533767 266909 544476 259499 1380782 95829 590305 823647 2227722 250540 612694 1589083 1252910 677842 1117338 1708440 699330 581965 715397 2083162 1297022 670717 1072840 1829237 1644332 488828 293840 1646750 210189 1494592 1580445 1586117 1491580 951178 15019 431532 1236614 920306 1908493 1255255 302245 1930454 150038 461152 1520793 875865 261456 1086352 1827217 493309 1934563 1078165 1673384 839833 821196 1737388 4296 2061356 2107912 2087371 1297144 2006522 1012067 1456850 629541 923316 1152591 830586 340057 533867 1992939 1173448 366664 701999 2060837 709343 628855 1003743 2088501 661637 1208075 1071122 402770 213349 2004751 82280 2186963 323062 1678457 428194 862293 1089815 1545486 1856066 1532220 2244642 1091151 1511818 801734 687447 2177953 2045510 109706 1223171 2250826 776230 621378 82224 969053 378637 2150470 1104791 192259 1759881 210751 1859689 168534 2213046 1859824 205760 219314 572744 293911 1171420 1143825 699867 179250 1120194 1058483 1923883 178436 2156493 1055989 871610 1923729 283577 33337 1985404 580071 2073923 897189 1519293 1117241 1309726 475368 1071588 574353 600486 1390402
81218,642460 676679 1498957 137973 1459996 807864 1744581 1306486 364692 70407 1529721 881304 257346 17082 30403 805906 983455 45630 638423 1699566 376708 1224344 2038725 2239440 1505648 454132 1911856 52905 2184861 2215294 1635887 1137384 634831 482493 10978 2010381 157190 1548832 1343126 95529 1564457 834717 87990 530771 1516193 210140 1444648 185328 787527 1953202 947725 153509 1589473 1815580 1182802 314575 1066445 739268 1614048 558443 1557867 335623 502522 1987218 1250517 1057432 637258 944014 287420 242855 1593180 314977 780397 824722 1690379 2209725 1122016 208168 466395 1512055 1991251 685267 356440 1900712 530096 1712722 914843 996532 340515 1550254 1563048 52219 864190 181437 2229445 642339 1706626 917654 422998 206048 521015 2120887 691034 1167330 1472794 455886 560046 1126344 1424386 1192002 1949467 1192271 832886 2128596 401171 167099 259660 1304593 1263337 1950183 1098325 780640 150561 88721 988906 2024150 2179576 1717889 1422829 1150383 162949 1450114 2029533 1591132 1401865 1613170 94429 1205332 2258182 1940217 1190918 888208 1522755 482870 313744 1379366 1148545 1115400 1454974 1204367 880981 2010999 1544228 111551 1603776 1916932 1247623 1439150 2045644 1475219 242280 1865941 2255216 1923630 2232515 649796 1903914 121993 1200492 1042879 243554 2083450 392778 886912 1969266 1790355 2183322 443842 1030281 218745 2160184 411001 1346680 870648 369168 2101282 1533027 292121 1566217 653869 1778357 1256127 2056193 1520742 38563 348544 677887 1615828 678111 896900 217855 1640611 1704540 1295973 1729541 581075 2026761 1306490 1509773 97038 1027533 621535 977803 2250175 298407 1509051 435695 1773850 397747 324255 1848071 2123008 1467573 191213 1093923 787167 222304 1925574 1989542 376314 237086 485151 687423 1242222 232644 1281723 1929878 1756460 296749 1677403 1632729 941427 800990 41810 1492107 1049818 1917839 1499929 446003 2195335 1969644 1250789 566974 1668494 353716 539242 1340647 2023318 597183 1635686 1534192 592457 944705 1365511 425633 674985 18269 1427371 1568257 2052042 1049853 839622 1522761 17932 1089949 1877041 833021 1179560 2168500 1197981 594963 59184 1694337 1846792 1431769 2183875 1616921 350102 2009926 1793149 936172 357394 418975 320276 703952 1224336 1735835 1463244 659089 2172846 1592225 2145297 2094847 1499307 1742238 1309553 588651 264827 1279711 1369137 230118 2105406 184442 1090219 1960235 1289243 309901 258994 980078 128055 751917 747483 1515706 1324242 648003 1026523 1609632 2045144 1599031 215343
81405,2135831 385814 5861 5861 2128211 2128211
83883,1668682 602664 522539 1310594 988033 541546 686633 2038861 1547214 576293 993092 1278185 1303865 1442933 861961 2143797 2057878 154904 1406690 1592275 2141816 979020 1877115 1573163 1394629 1775979 209626 468565 1532076
84662,1858118 165665 1734049 48759 571832 2160067 2007534 1146340 2169395 1320354 315530 405986 1642073 1645830 649881 235531 1196580 595863 1203321
86158,1794770 1682028 1047122 208581 255053 1996341 1019850 224975 2042695 971707 1656330 32035 1889605 415956 1219945 841990 232473 1882707 733318 1128162 119330 539183 184020 325285 349852 1863828 1752118 1440503
86266,427777 1859939 1269774 494363
86845,1464858 1322043 75377 802463 1470448 19113 1824858 1828183 1600303 895452 1721863 2010548 1851374 1367721 1298179 1564219 1968002 508153 971937 1388443 553449 815366 2003062 125553 1992450 1162840 1951425 1396891 1131977 1779230 1458517 1020536 832437 1695482 337 1128708 1098780 1482234 119646 1687400 1556655 725355 1214950 948601 1876389 932781 2140548 1035562 343971 1630917 1420953 1689050 1474683 693241 832521 716621 1634186 880947 1771558 937800 594461 146379 1065552 239556 2070762 32618 1005940 1706533 2002001 374847 1479493 769560 626860 575008 267198 1276544 2255112 454777 735416 1939455 148325 522895 1976538 1326086 1412879 110736 353512 1424181 63970 651830 325230 607817 2022287 2042191 251041 1454200 1023847 1763851 1796004 1161502 1740760 995385 1898983 525514 891180 1172652 2221069 723013 1872163 2027771 1892150 968400 2154312 1797046 1916167 624515 395517 1038372 663687 1579480 2196496 1953712 1728422 1443122 1952915 738506 864662 848536 1493733 1087240 1458904 351236 1905937 1761030 1575680 1122318 242499 1097199 968814 2244671 603507 492333 1428450 130264 2103076 718663 1302317 1964686 1259559 79973 1678594 1986493 814171 600516 1372171 559093 1638662 148927 104134 1698231 1424550 1863898 717212 742095 2070850 1409659 2127986 129006 89824 423688 1155323 525162 637056 944680 1097910 1512277 1728892 1644179 66924 1220585 1436616 828690 1173579 1029085 1113398 727812 2185427 1350733 1609165 438057 491203 52632 26266 1253648 839836 1492724 2027842 1832524 119054 523012 1725102 1424973 1424248 1893922 895357 693113 1963405 805243 1043493 152270 1847068 1227538 1385748 1741375 1062288 1499511 2253987 285634 363289 1118574 1561536 2062680 2129849 1816673 507513 2139274 2035866 1037199 431446 1929561 1472668 522934 688428 1120438 1295381 2020160 875778 1097067 834753 299689 1185029 1504028 1101594 2043601 505925 1881652 1746392 870257 1702035 1948631 452271 95206 886957 186232 46346 1948046 2205488 1142841 78161 963766 363220 431827 2050570 1195702 272102 34309 1113047 1457573 522448 1558199 234482 1358512 2059405 967680 454219 1004510 619520 678420 351977 1878858 1907442 1608730 1917423 1298495 1158534 261285 2086292 2162757 1444387 1086736 267516 1368473 647216 84551 1560660 862727 1797592 1119417 599510 1291353 1799548 1899261 2067828 1145116 2200642 1411899 2122831 1177062 414534 1035548 1148350 1710924 648586 599587 1360033 2200762 605877 1625445 217674 1966464 2174389 985695 718570 1582509 209188 806098 363277 1185045 381728 100168 1883729 1101480 677970 1812469 902427 633535 498564 557277 660744 933942 2173270 795189 912730 1897108 533442 1867482 1609875 1148934 1171737 2158159 1076122 870902 748296 1149652 121134 451096 1412008 1905569 2050879 1367110 735601 1349362 108482 606804 1569125 643264 1982219 1859328 2187734 1456862 330617 2068399 555805 1205386 201475 711429 480249 191587 1453696 811840 1423185 1467323 399773 1102404 519265 69753 527948 1669860 1257983 906229 937925 1304539 632887 1666659 1236018 22511 1589740 532573 767455 1597755 518917 1473485 360584 2156159 1397172 1932364 177583 1421169 1657095 2258077 2091615 2194993 504237 1777379 210036 53772 758010 1601000 632943 1807093 2212363 1362958 2211159 1894214 1684391
87120,524333 1557218
87934,713893 858945 42763 751152 1863600 1213397 1981595 1006803 1708358 1611047 1773302 1370222 2075495 1785035 580976 421482 1842666 1360352 1358542 241362
88969,1022306 1112655 1280237 540051 1943414
89502,1432775 774795 878184 1074071 1596219 975429 1756027 1025855 492191 547812 965975 331644 94961 718006 2111585 1634053 904244 1293040 1954636 209690 805184 421965 27640 536483 508917 1173994 1165361 603435 1687400 2133334 2087621 1951363 563493 322316 1841150 2239190 1852463 176469 300035 2065514 2081098 1857355 1112817 327023 928313 1903947 18048 154751 1084478 2146798 2126142 253358 1972583 709014 126510 2092397 1831059 1874328 1166152 278326 499460 675069 1143377 983303 651562 491717 2020729 1433567 2137975 720230 1564192 442818 97391 2106272 1772361 564334 1359998 1000862 923366 1453140 2019797 1787011 2059777 1800823 2131697 377615 295077 1482956 1855542 581050 2022521 342086 2108853 1471528 2201385 680577 2136236 633716 2030054 1091416 206002 1472861 2725 527875 1764250 979578 303677 783688 1129163 639121 1505857 185430 1280598 1231478 1137926 69342 627865 1942166 205240 2077511 1821964 1576338 461596 1579271 1330466 2214026 1663976 153186 1374960 1978626 541815 1493012 775919 38113 1003909 1736183 2225571 1818617 1064655 587488 44929 1481723 932754 362742 1422836 37394 1939170 2015608 68710 1125364 1740834 1116508 131673 1182451 1315016 732160 237081 1413889 120956 792229 854429 2084053 1022973 1637993
91290,139370 440141 1442229 1653492 1966382 394128 843004 630484 1257246 1690770 1613640 1298864 1466084 1836308 1588604 322407 235611 1405743 1083689 919430 1541652 1473050 2013387 1987502 1783485 558235 2066223 1722558 213278 1747821 1124248 781421 1777448 1490629 1105834 311444 895106 1946627 1565429 1145936 749558
91563,1955844 749807 48246 326329 515892 774672 1996260 1748140 488039 101197 2226539 2060777 77002 2033291 1069777 838344 1490995 1531509 1548193 2035157 1029390 1880074
